"","id","TimeStamp","Date","Time","type","instrument","residence_time_sec","units","header","value","campaign","loc_samp","cas","procedure","mdl","mdl_flag","time_flag"
"1","MA01",2024-09-11 09:15:56,"2024-09-11","09:15:56","Picarro","Picarro-G2204","0.0","ppm","CH4",7.5438,"LivingstonLandfill","off","74-82-8","picarro",0.0043,"EH","WHOOPER"
"2","MA01",2024-09-11 09:09:21,"2024-09-11","09:09:21","Picarro","Picarro-G2204","0.0","ppb","H2S",12.5863,"LivingstonLandfill","off","7783-06-4","picarro",10.69,"PQ","TESTTESTTEST,WHOOPER"
"3","MA02",2024-09-11 09:54:21,"2024-09-11","09:54:21","Picarro","Picarro-G2204","0.0","ppm","CH4",3.382,"LivingstonLandfill","off","74-82-8","picarro",0.0043,"NA","WHOOPER"
"4","MA02",2024-09-11 09:49:23,"2024-09-11","09:49:23","Picarro","Picarro-G2204","0.0","ppb","H2S",7.7798,"LivingstonLandfill","off","7783-06-4","picarro",10.69,"MD","WHOOPER"
"5","MA03",2024-09-11 10:00:58,"2024-09-11","10:00:58","Picarro","Picarro-G2204","0.0","ppm","CH4",3.8845,"LivingstonLandfill","off","74-82-8","picarro",0.0043,"NA","WHOOPER"
"6","MA03",2024-09-11 10:00:25,"2024-09-11","10:00:25","Picarro","Picarro-G2204","0.0","ppb","H2S",4.5553,"LivingstonLandfill","off","7783-06-4","picarro",10.69,"MD","WHOOPER"
"7","MA05",2024-09-11 10:26:39,"2024-09-11","10:26:39","Picarro","Picarro-G2204","0.0","ppm","CH4",3.3933,"LivingstonLandfill","off","74-82-8","picarro",0.0043,"NA","WHOOPER"
"8","MA05",2024-09-11 10:28:40,"2024-09-11","10:28:40","Picarro","Picarro-G2204","0.0","ppb","H2S",5.4902,"LivingstonLandfill","off","7783-06-4","picarro",10.69,"MD","WHOOPER"
"9","MA06",2024-09-11 11:09:09,"2024-09-11","11:09:09","Picarro","Picarro-G2204","0.0","ppm","CH4",2.6074,"LivingstonLandfill","off","74-82-8","picarro",0.0043,"NA","WHOOPER"
"10","MA06",2024-09-11 11:10:42,"2024-09-11","11:10:42","Picarro","Picarro-G2204","0.0","ppb","H2S",4.4014,"LivingstonLandfill","off","7783-06-4","picarro",10.69,"MD","WHOOPER"
"11","ST01",2024-09-11 09:25:57,"2024-09-11","09:25:57","Picarro","Picarro-G2204","0.0","ppm","CH4",4.9817,"LivingstonLandfill","off","74-82-8","picarro",0.0043,"NA","WHOOPER"
"12","ST01",2024-09-11 09:26:01,"2024-09-11","09:26:01","Picarro","Picarro-G2204","0.0","ppb","H2S",3.9629,"LivingstonLandfill","off","7783-06-4","picarro",10.69,"MD","WHOOPER"
"13","ST03",2024-09-11 10:23:10,"2024-09-11","10:23:10","Picarro","Picarro-G2204","0.0","ppm","CH4",2.3094,"LivingstonLandfill","off","74-82-8","picarro",0.0043,"NA","WHOOPER"
"14","ST03",2024-09-11 10:23:18,"2024-09-11","10:23:18","Picarro","Picarro-G2204","0.0","ppb","H2S",0.6327,"LivingstonLandfill","off","7783-06-4","picarro",10.69,"MD","WHOOPER"
"15","ST04",2024-09-11 10:39:04,"2024-09-11","10:39:04","Picarro","Picarro-G2204","0.0","ppm","CH4",2.9025,"LivingstonLandfill","off","74-82-8","picarro",0.0043,"NA","WHOOPER"
"16","ST04",2024-09-11 10:43:49,"2024-09-11","10:43:49","Picarro","Picarro-G2204","0.0","ppb","H2S",3.4424,"LivingstonLandfill","off","7783-06-4","picarro",10.69,"MD","WHOOPER"
